date,price,holding,cash,cash_growth_without_investment,total_value,profit_rate
2016-02-29,1.09,1529.051987767584,8422.726071419107,10089.392738085773,10089.392738085773,125.75480577068676
2016-03-31,1.101,3042.8273435047927,6782.209059136739,10120.716816633652,10132.361964335516,142.58966815600786
2016-05-31,1.17,4467.328768006218,5177.539052121667,10213.231015243578,10404.31371068894,161.35588568969283
2016-06-30,1.189,5869.0669233188055,3526.4275459412447,10243.915177337944,10504.748117767303,178.87134482228072
2016-08-31,1.198,7260.274491487977,1892.7079746640986,10339.623155486643,10590.516815466695,196.06622751204605
2016-09-30,1.191,8659.658762408772,231.72767289069725,10370.687044321046,10545.381258919544,212.22467496430858
2016-10-31,1.124,10142.458287912923,-1434.2195594139841,10402.884444502082,9965.90355620014,223.0893702601614
2016-11-30,1.146,11596.792202979823,-3105.19512944084,10434.138392647154,10184.728735174034,241.9873777501689
2017-02-28,1.245,6467.7401443279305,3223.129370591396,10626.831253146556,11275.46585027967,189.61150390090282
2017-03-31,1.252,3899.4717761043275,6448.608070705866,10659.823892597697,11330.746734388485,157.90952574084628
2017-05-31,1.295,2593.2365315528073,8199.129901479651,10757.266107671414,11557.371209840538,142.67055218762897
2017-06-30,1.314,1930.8141054516955,9094.186058606969,10789.584743805988,11631.275793170496,134.45903644965537
2017-07-31,1.305,3207.9533136253867,7455.75369759415,10823.082676613993,11642.13277187528,150.9519298468314
2017-08-31,1.295,4494.954600626674,5812.234570181802,10856.684608929769,11633.200777993345,167.29780118213552
2017-11-30,1.318,5759.496836337346,4252.313675643595,11056.07525074606,11843.330505936217,184.99830740694634
2018-01-31,1.326,7016.409857956251,2625.3759931889663,11159.37116741371,11929.135464838953,202.12573382051997
2018-02-28,1.27,8328.7458159615,966.0703118305917,11190.659625686438,11543.577498101697,214.86321096673115
2018-05-31,1.271,9640.049251576502,-682.6570222908656,11398.463304121638,11569.845576462869,231.61316509155748
2018-07-31,1.446,0.0,13250.61397866549,11502.657475055494,13250.61397866549,109.08813910402012
2018-08-31,1.483,1123.8480557428636,11625.08589029091,11538.36925232608,13291.752556957576,125.75480577068676
2018-10-31,1.452,2271.69011267583,10064.68496787906,11643.842313571104,13363.179011484364,142.07307954007317
2018-11-30,1.548,3348.348166078069,8428.256178385856,11678.824538531804,13611.499139474708,160.92056871490863
2019-01-31,1.424,4518.760151096796,6840.333951143787,11787.938745784228,13275.048406305625,173.4352836556385
2019-02-28,1.445,5672.162688582379,5192.846098425602,11820.989571322312,13389.12118342714,191.05088995403548
2019-04-30,1.425,6841.753331857233,3574.1716419732575,11930.23898979058,13323.670139869813,206.58312408298568
2019-05-31,1.429,8008.0701034924095,1918.6015433719956,11967.278259934212,13362.133721262648,223.52346088292663
2019-07-31,1.497,9121.40789017689,269.4729510781938,12076.672009193175,13924.220562673,245.63561521996817
2019-09-30,1.54,10203.658972427973,-1394.703250384981,12188.284441136871,14318.931567154099,266.2244872794109
2019-10-31,1.605,5621.040285798618,5956.069669935245,12226.124853251753,14977.839328642027,199.30583569108794
2019-12-31,1.701,0.0,15571.90405629584,12337.884737793183,15571.90405629584,109.08813910402012
2020-03-31,1.538,1083.6584308625922,14191.226349972805,12564.478660812792,15857.893016639471,125.75480577068676
2020-04-30,1.688,2071.020200214883,12567.195151845965,12602.226803323636,16063.077249808688,144.04696008364732
2020-06-30,1.719,3040.576143592816,11016.67432507135,12718.696405243294,16243.4247159074,161.35564301238063
2020-07-31,1.757,1994.58137477497,12888.69010138227,12758.18356324841,16393.169576861892,144.1329338588163
2020-08-31,1.761,2941.013326317654,11262.038364414095,12797.793315236246,16441.162832059483,160.87938378047397
2020-09-30,1.72,3910.0055743796697,9629.206848462307,12836.242417577003,16354.416436395339,176.34023498335043
2020-11-30,1.71,4884.664443775381,8051.533175331247,12954.874788494588,16404.30937418715,192.61590109257912
2020-12-31,1.748,5838.135076879882,6409.863737354359,12995.09519877963,16614.923851740394,211.1387402478804
2021-03-31,1.771,6779.2229744895185,4859.613401147886,13231.112898845004,16865.617288968824,229.14817798222947
2021-04-30,1.798,7706.178851389778,3207.5467337463115,13270.863846637241,17063.256308545133,247.64523485200831
2021-05-31,1.808,8628.00775994435,1550.8383914745898,13312.065293773012,17150.276421453975,265.08251940381393
2021-06-30,1.872,4759.16057512887,8797.97958907125,13352.05945122184,17707.128185712496,198.17962507043256
2021-08-31,1.972,0.0,18265.242975222533,13476.806541770256,18265.242975222533,109.08813910402012
2021-09-30,1.88,886.5248226950356,16653.451565495438,13517.295640256807,18320.118232162105,125.75480577068676
2021-11-30,1.87,1777.7904198429856,15140.695862715724,13642.222295428242,18465.163947822108,142.33281995508392
2021-12-31,2.019,1301.640793543748,16149.048587729156,13684.576682242478,18777.061349893982,135.36826672566838
2022-02-28,1.88,2188.1656162387835,14628.372029071701,13808.28755084553,18742.123387600615,150.22565268930924
2022-03-31,1.974,3032.4749711864365,13007.121403425674,13851.157512901984,18993.2269965477,168.94919503524034
2022-05-31,2.021,3857.149224856237,11459.353766804214,13977.771937585809,19254.65235023867,187.04112493836467
2022-06-30,1.977,4700.177381996686,9827.115056183238,14019.76611349457,19119.365740390684,202.0106459460946
2022-08-31,1.966,5547.9223803011955,8252.262241620954,14150.751527334058,19159.477641293102,218.16029310074163
2022-09-30,1.96,6398.262516355618,6610.3882925467105,14193.265395176051,19150.98282460372,234.4940844245902
2022-10-31,2.134,3589.6342260003644,12624.52403591178,14237.330580428592,20284.803474196557,185.69093348686786
2022-11-30,2.235,0.0,20685.285071100065,14280.104562400498,20685.285071100065,109.08813910402012
2023-01-31,2.065,807.1025020177564,19211.87916238697,14413.52229495288,20878.545829053637,125.75480577068676
2023-02-28,2.04,1624.095966070044,17599.078441255682,14453.934687741243,20912.234212038573,142.219696811849
2023-03-31,2.077,2426.5353818941494,15987.050832634917,14498.809161085474,21026.964820829067,159.48727898596158
2023-05-31,2.131,3208.6408097058184,14466.522944743934,14631.343815956117,21304.136510227032,177.4642747588511
2023-06-30,2.242,1976.0123465716129,17273.53851607361,14675.301553192954,21703.75819708717,153.39033591415566
2023-07-31,2.234,2722.058303002529,15660.500218459803,14720.863294171751,21741.578467367453,169.89892159309662
2023-08-31,2.232,3468.7727593944046,14042.453994239624,14766.566488614622,21784.754793207936,186.51114709370322
2023-10-31,2.085,4268.133270985132,12504.150407118736,14901.548732428531,21403.208277122736,198.0787178040601
2023-11-30,2.164,5038.31195243923,10875.050635528829,14946.318260903945,21777.957700607323,218.11720975480506
